"शीर्षक","विवरण"
"हावाले उडाएको आगोले ७ बिगाहा गहुँबाली सखाप","परासी : पश्चिम नवलपरासीको पाल्हीनन्दन गाउँपालिकाका दुई स्थानमा आइतबार दिउँसो आगलागी हुँदा करिब ७ बिगाहामा लगाइएको गहुँबाली जलेर नष्ट भएको छ । किसानले भित्राउन लागेको गहुँबाली जलेर नष्ट हुँदा करिब ६ लाख बढीको क्षति भएको प्रहरीले अनुमान गरेको छ । आगलागीका कारण पाल्हीनन्दन गाउँपालिकाको वडा नं २ र ३ मा पर्ने कुस्मा गाउँमा लगाइएको करिब साढे ३ बिगाहा क्षेत्रफलमा लगाइएको गहुँबाली नष्ट भएको छ । उक्त क्षेत्रफलमा लगाइएको बाली १० जना किसानको हो । त्यसैगरी पाल्हीनन्दन गाउँपालिका४ को लोहरौलीमा आगलागी हुँदा ३ बिगाहा १८ कट्ठा गहुँबाली जलेर नष्ट भएको छ । उक्त क्षेत्रफलमा २० जना किसानले बाली लगाएका थिए । अन्य किसानले काटिसकेको गहुँको नलमा आगो लगाउने क्रममा आगलागी भएको हो । नलमा आगो लगाएको बखत हावा आएको थियो । सोही क्रममा आगो गहुँबालीमा सल्केको प्रहरीले जनाएको छ । खेत मलिलो हुने भन्दै तराई क्षेत्रमा गहुँ काटेपछि नलमा आगो लगाउने चलन छ । आगलागी पश्चात रामग्राम नगरपालिकाको दमकल नियन्त्रणका लागि पुगेको थियो । ठूलो क्षेत्रफलमा लागेको आगो नियन्त्रण गर्न दमकललाई मुस्किल भएको थियो । लगत्तै अर्को स्थानमा आगलागी भएपछि दमकल पुग्न सकेको थिएन । आगलागी भएलगत्तै गाउँपालिकाका अध्यक्ष दीपक गुप्ता किसानहरूलाई आश्वासन दिन पुगेका थिए । त्यस क्रममा गुप्ताले किसानहरूलाई निःशुल्क बिऊ, बिजन र मलखादसहित अन्य सहयोगका लागि सहयोग गर्ने प्रतिबद्धता जनाएका थिए । आगलागीले ठूलो क्षति हुने गरेको भन्दै अध्यक्ष गुप्ताले दमकल खरिद गर्नका लागि गाउँपालिकाले तत्काल पहल गर्ने बताए । पश्चिम नवलपरासीमा रामग्राम नगरपालिकामा मात्र एउटा दमकल छ । सात स्थानीय तहमध्ये अन्य पालिकामा दमकल छैन । जसका कारण आगलागी हुँदा हरेक वर्ष जिल्लामा ठूलो क्षति ब्यहोर्नु परेको छ ।"
"बाँस झ्याङमा पेस्तोल","विराटनगर : विराटनगर महानगरपालिका१६ दरैयामा आइतबार दिउँसो पेस्तोल फेला परेको छ । बाँस झ्याङमा लुकाएर राखेको अवस्थामा पेस्तोल फेला परेको प्रहरीले जनाएको छ । मोरङ प्रहरी प्रमुख एसपी मनोजकुमार केसीले मेडइन युएसए लेखिएको नाइन एमएम पेस्तोल र दुई राउण्ड गोली फेला परेको जानकारी दिए । उनका अनुसार विशेष सूचनाका आधारमा प्रहरीले बाँस झ्याङलाई सिल गरेर खोजतलास थालेको थियो । कोसी कसैलाई दबाब दिन र तर्साउनका लागि पेस्तोल भारतबाट ल्याएको हुन सक्ने प्रहरी अनुमान छ । प्रहरीले घटनाका बारेमा अनुसन्धान सुरु गरिएको जनाएको छ ।"
"सिन्दुर जात्राको रौनक ! (फोटोफिचर)","भक्तपुर : मध्यपुरथिमीमा सिन्दुर जात्राको रौनक सुरु भएको छ । आइतबार विहानैबाट खट संकलन गरेर जात्राको रौनक सुरु भएको हो । बिस्केट जात्राको अवसरमा मध्यपुरथिमिमा मात्र यो जात्रा मलाइन्छ । स्थानीयले आआफ्नो घरबार खट लिएर यो जात्रामा आउने गर्दछन् । आज सिद्धिकालीमा खट जम्मा गरिएको छ । जम्मा भएका खट सोमबार बालकुमारी मन्दिरमा पुर्याए सिन्दुर जात्रा मनाइन्छ ।"
"ऐतिहासिक स्थलमा मेला महोत्सव","उदयपुर : नयाँ वर्षको अवसरमा आइतबारबाट उदयपुरका विभिन्न ऐतिहासिक, धार्मिक तथा पर्यटकीय क्षेत्रमा मेला तथा महोत्सव सुरु भएका छन् । जिल्लाको सबैभन्दा विकट क्षेत्र लिम्चुङबुङ गाउँपालिकाको एभरेष्ट भ्यूटपमा पाँच दिने महोत्सव सुरु भएको छ । त्यसैगरी जिल्लाको ऐतिहासिक तथा प्रसिद्ध धार्मिक स्थल रौतामाई गाउँपालिकाको रौतापोखरी, ताप्ली गाउँपालिकाको ताप्लीपोखरी र त्रियुगा नगरपालिकाको ९ उत्तराइटोलमा चौधरी समुदायको सिरुवा मेला आयोजना गरिएको छ । एभरेष्ट भ्यूटप भैचुङ, पर्यटनको केन्द्र लिम्चुङबुङ भन्ने नाराका साथ लिम्चुङबुङ महोत्सव सुरु भएको हो । जिल्लाको सबैभन्दा अग्लो समुन्द्री सतहदेखि दुई हजार दुई सय ७५ मिटर रहेको तथा विकट क्षेत्र लिम्चुङबुङ गाउँपालिकामा पहिलोपटक सांस्कृतिक पर्यटन महोत्सवको आयोजना गरिएको गाउँपालिकाका अध्यक्ष मेजरकुमार राईले जानकारी दिए । टावरबाट सगरमाथा, जुगल, चारपाटे, गौरीशंकर, कञ्चनजंघा, लुङुर, मकालु, चोय हिमाल देख्न सकिन्छ । महोत्सव समितिका संयोजक तथा एभरेष्ट भ्यूटप भैचुङ पर्यटन समितिका अध्यक्ष ज्ञानबहादुर राईले महोत्सवको आकर्षण मौलिक सांस्कृतिक प्रदर्शनी लोकप्रिय र चर्चित कलाकारको प्रस्तुति रहने छ । महोत्सवमा जातजातीका झाँकी, खेलकुद प्रतियोगिता प्रतियोगिताको रुपमा सञ्चालन हुनेछन् । जसमा राई समुदायको साकेला, मगर समुदायको हुर्रा, तामाङ समुदायको तामाङ सेलोलगायतका सांस्कृतिक नृत्य प्रस्तुत हुनेछन् ।"
"मृत्युको मुखमा पुगेको मृगको सशस्त्रले गर्यो उद्धार","सिन्धुली : सशस्त्र प्रहरी बल सिन्धुलीले आइतबार बिहान घाइते मृगको उद्धार गरी वन डिभिजन कार्यालय सिन्धुलीलाई बुझाएको छ । घाइते भई घना बस्ती छिरेको मृगको उद्धारगरी डिभिजन वन कार्यालयलाई बुझाइएको सशस्त्र प्रहरी वल कार्यालय सिन्धुलीका प्रमुख तथा सशस्त्र प्रहरी नायव उपरीक्षक दिनेश शर्माले जानकारी दिए । घाइते मृग कमलामाई नगरपालिका ५ मिलनचोकस्थित इन्द्रबहादुर घलानको घरमा अचानक छिरेको थियो । घाइते मृगको उपचारपछि कमलामाई नगरपालिका ५ स्थित कालीका सामुदायिक वन उपभोक्ता समितिको जगंगलमा लगेर मृगलाई सुरक्षित छाडिएको वन डिभिजन कार्यालय सिन्धुलीका फोरेस्टर सिर्जना दाहालले बताइन् । सिन्धुलीको कमलामाई नगरपालिका क्षेत्रमा मृग धेरै मात्रमा पाइने भएपछि स्थानीयले अवैध सिकार गर्ने गरेका छन् । घाइते मृगलाई पनि सिकारीले घाइते बनाइएको हुन सक्ने प्रहरीको आशंका छ ।"
"""लिंगो जात्रा","बुढापाका भन्छन् : रोमाञ्चक भएन"",""भक्तपुर : आठ दिन नौ रातसम्म चल्ने भक्तपुरको बिस्काअन्तर्गतको लिंगो जात्रा पहिलेजस्तो रोमाञ्चक हुन छाडेको छ । स्थानीय बुढापाकाले बिस्काको लिंगो जात्रा पहिलेजस्तो रोमाञ्चक नभएको गुनासो गरेका हुन् । उनीहरुले बिस्काको लिंगो ठड्याउँदाभन्दा ढाल्दाको दिनको जात्रा एकदम रोमाञ्चक हुने बताए । स्थानीय रत्नबहादुर सुवालले पहिले लिंगो ढाल्नुअघि लिंगोलाई घन्टौं मान्छे उभिएर निदाउँदा कहिले यता कहिले उता ढल्किएझैं ढल्काइने सुनाए । यसो गर्दा जात्रालुको शरीर पनि लिंगो सँगसँगै जाने भएकाले जात्रालु आफू रोमाञ्चित भएको महसुस गर्ने उनको भनाइ थियो । लिंगो तानिँदा जतातिर बढी बल पर्छ, त्यतै ढल्छ कि जस्तो हुन्छ, उनले भने, त्यसपछि त्यतातिरकाले डोरी खुकुलो बनाउँछ । फेरि अर्को दिशामा बढी बल पर्छ र त्यतैतिर लिंगो ढल्ला कि जस्तो हुन्छ । यस्तो बेला लिंगो जताजता ढल्कियो, त्यतात्यता जात्रालुको शरीर जान्छ । जसले जात्रालुलाई रामोञ्चित बनाउँछ । लिंगोलाई ढाल्नुअघि यसरी कहिले यता कहिले उता गर्ने प्रक्रियालाई नेपालभाषामा न्ह्यः ब्वयकेगु (निन्द्रा लगाउने) भनिन्छ । तर आजभोलि न्ह्यः ब्वयकेगु हुन छोडेको भन्दै अर्का ज्येष्ठ नागरिक कृष्णबहादुर लोहलाले गुनासो पोखे । उनले आजभोलिका युवाहरुलाई लिंगो ढाल्ने प्रक्रियाबारे सचेत गर्नुपर्नेमा जोड दिए । आजभोलिका युवाहरुलाई कसरी लिंगो ढाल्ने भनेर सिकाउनुपर्ने भयो, उनले गुनासो पोखे, युवाहरुले पहिलेजस्तो अहिले लिंगोलाई न्ह्यः ब्वयकेगु नै गर्न बिर्से । विश्वनाथ हेर्न आएका थिए लिंगो जात्रा ज्येष्ठ नागरिकहरुले लिंगो जात्रा हेर्दा रोमाञ्चित हुने भएकाले काशीबाट साक्षात विश्वनाथ हेर्न आएको तर्क गरे । जात्रा हेरेर रोमाञ्चक हुन नै काशीका विश्वनाथ लिंगो जात्रा हेर्न भक्तपुर पुगेको जनविश्वास रहँदै आएको छ । काशीका विश्वनाथ भक्तपुरको लिंगो जात्रा हेर्न आएको यहाँका तत्कालीन एक राजतान्त्रिकले सुइको पाएपछि त्यसबेलाका राजालाई यदि काशी विश्वनाथलाई नेपालमै राख्न सकिए यहाँ अन्नले धनधान्य हुने र कहिल्यै भोकमरी नहुने बताएका थिए । तर सयौंको भीडमा काशी विश्वनाथलाई चिन्ने कसरी ? राजाले प्रश्न गरे । उक्त राजतान्त्रिकले विश्वनाथ सामान्य मानिसभन्दा अग्लो हुने जानकारी दिए । हँसियाले काटिएको थियो विश्वनाथको शीर सोही सल्लाहअनुसार काशी विश्वनाथलाई पक्रन खोजिन्छ तर काशी विश्वनाथले आफूलाई नियन्त्रणमा लिन आएको पत्तो पाउँछन् । नभन्दै उनी जमिनमुनि गडिँदै जान्छन् । त्यत्तिखेरै एक किसानले कम्मरमा बाँधिराखेको हँसिया झिकेर काशी विश्वनाथको शीर छेदन गर्छन् । हँसियाले विश्वनाथको शीर छेदन गरिएकाले भक्तपुरमा हँसियाले मासु काट्नु हुन्न भन्ने प्रचलन रहेको संस्कृतिकर्मी ओमप्रसाद धौभडेल बताउँछन् । उनका अनुसार छेदन गरिएको विश्वनाथको टाउको सातपटक सात ठाउँमा उफ्रिन्छ र आकाशवाणी हुन्छ । आकाशवाणीमा मलाई नेपालमै राख्ने हो भने सात वटा बाटो भएको केन्द्र भागमा मन्दिर बनाएर स्थापना गर भनिन्छ । सोहीअनुसार हालको टौमढीमा भैरवनाथको मन्दिर बनाएर त्यहीं काशी विश्वनाथलाई स्थापना गरिन्छ । नभन्दै भैरवनाथ मन्दिर भएको ठाउँबाट भक्तपुरका विभिन्न टोल जाने सातवटा फरक फरक बाटो रहेका छन् । यसरी काशी विश्वनाथको शीर नेपालमा र शरीर भारतमा रहेको विश्वास अद्यापि रहँदै आएको छ । ढालियो ५५ हाते लिंगो बिस्का जात्राको पाँचौं दिन आइतबार शान्तिपूर्ण रुपमा भक्तपुर नगरपालिका ५ स्थित योसिंखेलमा ठड्याइएको ५५ हात लामो लिङ्गो ढालिएको छ । भैरव एवं इन्द्र देवताको प्रतीकस्वरुप योसिंखेलमा शनिबार ठ्डयाइएको उक्त लिंगो आइतबार आठवटा लामा डोरीले तानेर ढालिएको हो । नयाँ वर्षको पूर्वसन्ध्यामा ठड्याइएको उक्त लिङ्गो जात्रा हेर्दा शत्रुनाश हुने जनविश्वास छ । त्यसैले यस लिङ्गो जात्रालाई शत्रुहन्ता जात्रासमेत भनिन्छ । उक्त लिंगो ढाल्नुअघि भैरवनाथको रथमा भैरवको मूल देवता राखिएको थियो । त्यसलगत्तै लिंगोमा बाँधिएका आठवटा डोरी फुकाएर आठ कुना लगी तानिएको थियो । आठ दिशा जनाउने गरी आठ वटा डोरीबीच तानातान भएको लिंगो पश्चिमी दिशातर्फ ढलेको थियो । लिंगो जात्रा सकिएलगत्तै योसिंखेलमा रहेका भैरवनाथ र भद्रकालीको रथ तानेर गःहिटी पुर्याइएर तीनपटक जुधाइएको छ । यस जात्रालाई स्थानीय नेपालभाषामा द्य ल्वाकेगु भनिन्छ । यसरी दुई रथ जुधाउनुलाई भैरव र भद्रकालीको समागम भएको प्रतीकको रुपमा लिइन्छ । गःहिटीमा रथ जुधाइएपछि पाँचौं दिनको जात्रा पनि सम्पन्न भएको मानिन्छ । छैटौं दिन सोमबार मध्यपुर थिमी नपाको बोडेमा जिब्रो छेड्ने जात्रा र बालकुमारी, नगदेश र चपाचो क्षेत्रमा सिन्दूर जात्रा हुने चलन छ ।"""
"बुद्धिचालमा आर्मी र पुलिसकै अग्रता","गुलरिया : आठौं राष्ट्रिय खेलकुद प्रतियोगिता अन्तर्गत बर्दियाको पर्यटकीय नगरी ठाकुरद्वारास्थित गैंडाक्याम्प रिसोर्टमा भइरहेको बुद्धिचाल प्रतियोगितामा क्लासिकतर्फको खेलमा महिलातर्फ नेपाल आर्मी र पुरुषतर्फ नेपाल पुलिसले अग्रता लिएका छन् । महिलातर्फ नेपाल आर्मीकी सुजना लोहनी र सिन्दिरा जोशीले ४ अंकका साथ अग्रता लिएका छन् । उनीहरूलाई वर्तमान नेपाल च्याम्पियन मोनालिसा खुम्बु, गण्डकी प्रदेशका पूजा भण्डारी, प्रदेश नम्बर ३ का अनिशा न्यौपाने र प्रदेश नम्बर १ का कृपा अधिकारी ३ अंकका साथ पछ्याइरहेको प्रतियोगिता निर्देशक धरम लामाले जानकारी दिए । पुरुषतर्फ ४ खेलमा ४ अंक प्राप्त गरी नेपाल पुलिसका पुरुषोत्तम चौलागाइँको एकल अग्रता छ । एपीएफका क्षितिज भण्डारीले साढे ३ अंक सहित पछ्याइरहेका हुन् । वर्तमान नेपाल च्याम्पियन पुलिसका मदनकृष्ण कायस्त, पूर्व च्याम्पियन सुधीर लामा, मनिष हमाल, युवा खेलाडी सुशील चौधरी, सजिन मर्हजन, सुमन राई, रिजेन्द्र राजभण्डारी र कृष्ण थापा ३ अंक सहित उपाधि होडमा रहेको निर्देशक लामाले जानकारी दिए ।"
"चौंरीपालकलाई शैलुङ गाउँपालिकाको ५ लाख अनुदान","दोलखा : चौंरीको व्यवसायिक प्रवर्द्धनका लागि शैलुङ चौँरीपालक समूहलाई शैलुङ गाउँपालिकाले ५ लाख अनुदान दिएको छ । चौंरी पालन व्यवसाय र व्यवसायी घट्दै गइरहेका बेला चौंरीको दूधबाट बन्ने परिकारलाई प्रोत्साहन गर्न शैलुङ गाउँपालिकाले लागत साझेदारी कार्यक्रम अन्तर्गत ५ लाख अनुदान उपलब्ध गराएको हो । चौँरीपालनबाट मानिसहरू विस्थापित हुँदै गएकाले पेशा प्रवर्द्धन गर्न चौँरीपालक समूहलाई अनुदान दिएको गाउँपालिकाका अध्यक्ष भरत दूलालले बताए । शैलुङ गाउँपालिकाका उच्च भूभागमा चौँरी पाल्ने गरिन्छ । शैलुङ क्षेत्रमा रहेका चौँरीपालक किसान समूहका ४ गोठमा अहिले १२० भन्दा बढी चौँरी रहेको शैलुङ चौँरीपालक समूहका सदस्य फुर्वा तामाङले जानकारी दिए । अहिले शैलुङ क्षेत्रमा फूर्वा, कस्बहादुर श्रेष्ठ, निमा तामाङ र ढालबहादुर तामाङले चौरीपालन गरिरहेका छन् । गाउँपालिकाले ५ लाख अनुदान दिएपछि आफूहरूले त्यसमा १० लाखभन्दा बढी रकम थप गरी उन्नत नश्लका ३० वटा चौँरी सोलुखुम्बुबाट खरिद गरी ल्याएको चौँरीपालक किसान फूर्वा तामाङले जानकारी दिए । एउटा चौँरी सोलुबाट शैलुङसम्म ल्याइ पुर्याउँदासम्मको खर्च ५० देखि ५५ हजार रुपैयाँ पर्ने फूर्वाको भनाइ छ । गाउँपालिकाले गरेको सहयोगले चौँरीपालनलाई निरन्तरता दिन उत्साह जागेको किसनाहरूको भनाइ छ । अत्यन्तै पोसिलो मानिने चौँरीको दूधबाट प्रमुख रुपमा चीज, छुर्पी, घ्युजस्ता दुग्धजन्य पदार्थको उत्पादन गरिन्छ । शैलुङका दुग्धजन्य उत्पादनको राजधानी काठमाडौंमा पनि ठूलो माग छ । शैलुङका उच्च भूभागमा चौँरी पालनको सम्भावना ठूलो भएकोले व्यवसायिक चौँरी पालन गर्नेलाई आगामी वर्षमा पनि गाउँपालिकाले मद्दत गर्ने गाउँपालिका अध्यक्ष दूलालले बताए ।"
"समीट एयर दुर्घटना : ४ सदस्यीय जाँच आयोग गठन","काठमाडौं : आइतबार बिहान लुक्लामा भएको समीट एयर दुर्घटनाको छानबिन गर्न सरकारले दुर्घटना जाँच आयोग गठन गरेको छ । नेपाल नागरिक उड्डयन प्राधिकरणका पूर्व महानिर्देशक राजेशराज दलीको अध्यक्षमा चार सदस्यीय आयोग गठन भएको संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालयका प्रवक्ता घनश्याम उपाध्यायले जानकारी दिए । उपाध्यायका अनुसार छानबिन आयोगका सदस्यमा नेपाल वायुसेवा निगमका इन्जिनियर राजेश श्रेष्ठ, तारा एयरका क्याप्टेन रवीन्द्र डंगोल र सदस्य सचिवमा पर्यटन मन्त्रालयकै सहसचिव बुद्धिसागर लामिछाने रहेको छन् । कोपाइलटसहित तीनको मृत्यु सोलुखुम्बुको खुम्बु पासाङल्हामू गाउँपालिका२ लुक्लास्थित तेन्जिङ हिलारी विमानस्थलमा समिट एयरको जहाज उड्ने क्रममा चिप्लिएर दुर्घटना हुँदा कोपाइलटसहित ३ जनाको ज्यान गएको छ । समिटको ९ एन एएमएच कलसाइनको १९ सिट क्षमताको एल ४१० नामक ट्विन इन्जिन जहाज दुर्घटनामा परेको हो । जहाज बिहान ९ बजेर १० मिनेटमा दुर्घटना भएको थियो । जहाज दुर्घटनाबाट मनाङ एयरको हेलिकप्टर क्षतिग्रस्त भएको छ । दुर्घटनामा जहाजका कोपाइलट सुजित ढुंगाना लामा, पर्यटक प्रहरी निरीक्षक रामबहादुर खड्का र रुद्रबहादुर श्रेष्ठको निधन भएको छ । कोपाइलट ढुंगाना र पर्यटन प्रहरी खड्काको घटनास्थलमै ज्यान गएको हो भने श्रेष्ठको काठमाडौंस्थित बीएन्डबी हस्पिटलमा उपचार क्रममा ज्यान गएको जिल्ला प्रहरी कार्यालय सोलुखुम्बुका प्रहरी नायब उपरीक्षक शालिग्राम शर्माले जानकारी दिए । दुर्घटनामा चार जना घाइते भएका छन् । घाइते हुनेमा समिट एयरका पाइलट रवीन्द्रबहादुर रोकाय, मनाङ एयरका पाइलट चेतबहादुर गुरुङ, मनाङ एयरका लुक्ला इन्चार्ज लाक्पाछिरी शेर्पा र कामदार स्याङबुचे कार्की छन् । काठमाडौं कालिमाटीका पाइलट रोकाय उपचारपछि डिस्चार्ज भइसकेका छन् भने ललितपुर उपमहानगर बस्ने मनाङ एयरका पाइलट गुरुङको ग्रान्डी अस्पतालमा उपचार भइरहेको प्रमुख जिल्ला अधिकारी नरेन्द्र रानाले जानकारी दिए । ढाडमा गहिरो चोट लागेका उनी खतरामुक्त छन् । मनाङ एयरका लुक्ला इन्चार्ज लाक्पाछिरी शेर्पा र कामदार कार्कीको काठमाडौंमा उपचार भइरहेको छ । रामेछाप विमानस्थलबाट यात्रु लिएर लुक्ला पुगेको उक्त जहाज यात्रु ओरालेर फर्कने क्रममा थियो । लुक्लाबाट पुनः यात्रु लिन रामेछाप फर्कने क्रममा जहाज धावनमार्गबाट दाहिनेतर्फ मोडिएर पार्किङ गरिराखेको हेलिकप्टरमा ठोक्किँदा दुर्घटना भएको हो । यात्रुविहीन यो जहाजमा रहेकी एयर होस्टेज (परिचारिका) रश्मि लामा सकुशल रहेको समिट एयरका प्रबन्धनिर्देशक मनोज कार्कीले जानकारी दिए । लुक्लाबाट फर्कने यात्रु नभएका कारण जहाज खाली थियो । मन्थली विमानस्थलबाट पर्यटक बोकेर अवतरण भएको जहाज रित्तै अर्को उडानका लागि मन्थली जान गुडेको थियो । दुर्घटनामा परेका जहाजले ५ फ्लाइट गर्ने तालिका थियो । तेस्रो फ्लाइट सफल भएपछि चौथो फ्लाइटका लागि उड्ने क्रममा दुर्घटना भएको हो । दुर्घटनाको कारण नखुले पनि धावनमार्ग चिप्लो नभएको विमानस्थलका अधिकारीले जानकारी दिएका छन् । दुर्घटनापछि विमानस्थल बन्द गरिएको छ । लुक्लामा समीट एयरको विमान दुर्घटना लुक्ला विमान दुर्घटना : सुरक्षाकर्मीसहित ३ जनाकाे मृत्यु (अपडेट)"
"मेलाका लागि पूर्वाधार बनाउन माग","ललितपुर : ललितपुरमा अन्तर्राष्ट्रिय स्तरको व्यापार मेलाका लागि उचित ठाउँको बन्दोबस्त मिलाउनुपर्नेमा ललितपुर उद्योग वाणिज्य संघले माग गरेको छ । पुल्चोकस्थित मदन स्मारकको प्रांगणमा मेला समापनको अवसरमा संघले संघ, प्रदेश र स्थानीय तहलाई सो विषयमा ध्यानाकर्षण गराएको हो । मेला चैत २७ गते सुरु भएको थियो । यसअघि अधिकांश मेला, महोत्सव पाटन दरबार क्षेत्रस्थित भण्डारखाल बगैंचामा हुने स्थानीयको भनाइ छ । मेला सञ्चालन भएको स्थानले पनि यस पटकको मेलामा नयाँपन दिएको मेलाका अवलोकनकर्ताको भनाइ छ । संघका अध्यक्ष कृष्णलाल महर्जनले भने, विद्यालय वरपर पर्याप्त खुला ठाउँ भएकाले यो ठाउँ पनि मेलाको लागि उचित त छ, तर यसको सीमितता छ त्यसैले विद्यालय बन्द हुने समयमा बाहेक मेला गर्न नमिल्ने अवस्था छ । त्यसैले ठाउँको खाँचो रहेको विषयमा यस मेलाले सबैलाई ध्यानाकर्षण गराएको संघका अध्यक्ष महर्जनले बताए । ललितपुर क्षेत्र नम्बर ३ की सांसद पम्फा भुसालले मेलाको ठाउँको प्रबन्धका लागि यथासक्य पहल गर्ने प्रतिवद्धता व्यक्त गरिन् । मेलाको उद्घाटनमा उपराष्ट्रपति नन्दबहादुर पुनले पनि सो विषय जायज रहेको उल्लेख गर्दै सम्बन्धित निकायको ध्यानाकर्षण गराउने बताएका थिए । मेलामा चीनमा उत्पादित दैनिक उपभोग्य, खेलकुदको सामग्री, भारत, पाकिस्तानका लत्ताकपडा, नेपाली हस्तकलाको सामानको उल्लेख्य बिक्री वितरण भएको बताइएको छ । मेलामा तन्ना, लुगा, ब्लाकेट लगायतको कारोबार उत्साहजनक रहेको व्यवसायी बाबुराजा ज्यापूले बताए । संघका सदस्य एवं प्रचारप्रसार संयोजक मिलन शाक्यले पनि मेलामा अहिलेसम्मकै उल्लेख्य कारोबार भएको जानकारी दिए ।"
