"शीर्षक","विवरण"
"गोर्खाल्याण्डका विस्थापित खोज्दै भारतीय सुरक्षाकर्मी नेपालमा : स्थानीयको प्रतिकारपछि फिर्ता","इलाम : गोर्खाल्याण्ड आन्दोलनका क्रममा विभिन्न झुटा मुद्दा लगाएपछि भारत छोडेर सिमावर्ती क्षेत्रमा बसेका नेपाली भाषी भारतीयलाई खोज्ने नाममा नेपाल प्रवेश गरेका भारतीय सुरक्षाकर्मीलाई स्थानीयले फिर्ता पठाएका छन् । बुधबार बिना बर्दी इलामको सुर्योदय नगरपालिकाको छिपिटार पुगेका भारतीय सुरक्षाकर्मीलाई स्थानीयले फिर्ता पठाएका हुन् । मिरिकमा स्थायी बसोबास भएर फिक्कलमा व्यवसाय गर्दै आएका परिवारलाई पक्राउ गर्न आएका दुई गाडी भारतीय सुरक्षाकर्मीलाई स्थानीयले बिना प्रमाण नेपाल प्रवेश गरेको भन्दै फिर्ता पठाएका हुन् । भारतीय सुरक्षाकार्मी पशुपतीनगरको इलाका प्रहरी कार्यालयलाई जानकारी गराएर नेपाल प्रवेश गराएको भन्दै गोर्खा जनमुक्ति मोर्चाकी सदस्य भएको आरोपमा एक महिलालाई पक्राउ गर्ने प्रयास गरेका थिए । स्थानीयको चर्कौ दबाबपछि भारतीय प्रहरी पछि हटेको हो । प्रहरी चौकी फिक्कलका इन्चार्ज शम्भु बस्नेतले भारतीय प्रहरीको टोली छिपिटार आएर भारतीय नागरिक पक्राउ गर्ने प्रयास गरेको बताए । उनले भारतलाई आफ्नो नागरिक पक्राउ गर्ने अधिकार रहेको भन्दै भारतीय सुरक्षाकर्मीको बचाऊ गरे । हामी पनि हाम्रा नागरिक भारतमा भएको बेला यसै गर्छौँ, उनले भने, अहिले कुरा नगरौँ भेटेर कुरा गर्ने विषय हो । गोर्खाल्याण्डको माग गर्दै गोर्खा जनमुक्ति मोर्चाले सञ्चालन गरेको आन्दोलनमा १२ जनाको मृत्यु भइसकेको छ । अन्य सयाँै घाइते र करिब १० हजार विस्थापीत भएका छन् । मोर्चाका कमाण्डर विमल गुरुङलाई अपदस्त गरेर मोर्चाकै विद्रोही विनय तामाङलाई गोर्खा टेरिटोरीयल एडमिनिस्टेटिभ (जिटिए) प्रमुख बनाएपछि विनयको समूहले गोर्खालयाण्डका पक्षधरलाई अहिले पनि धरपकड जारी राखेको छ । भारतीय सुरक्षाकर्मी बिना आधार नेपाल प्रवेश गर्नुलाई गोर्खाल्याण्डका एक नेताले राज्य आतंकको खतरनाक रुपको संकेत दिएका छन् । नाम उल्लेख नगर्ने भन्दै उनले भने, भारतीय प्रहरी नेपाल प्रवेश गरेर मच्चाएको त्रास राज्य आतंकको खतरनाक रुप हो ।"
"कैदी बन्दी हँसाउन कारागार पस्यो सिस्नुपानी नेपाल","काठमाडौँ : हास्यव्यङ्ग्य शैलीलाई प्रस्तुतिको माध्यम बनाएर विभिन्न अभियान चलाइरहेको सिस्नुपानी नेपालले देशभरका कारागारमा हास्यव्यङ्ग्य शिविर सञ्चालन गर्ने घोषणा गरेको छ । कैदीबन्दीको मानवअधिकार प्रवर्द्धन गर्ने मूलध्येयसहित कैदीहरूको आत्मग्लानि, प्रतिशोधको भावना हटाएर उनीहरूको जीवनमा सकारात्मक सोच र उत्साह ल्याउन सिस्नुपानी नेपालले कारागारयात्रा थालेको हो । कैदीबन्दीलाई विभिन्न किसिमको मनोरञ्जनात्मक खुराक पस्कने मात्र होइन, कैद मुक्त भएपछि कसरी नयाँ जीवन सुरु गर्ने भन्नेसम्मको सन्देश बोकेर सिस्नुपानी नेपालले यो अभियान सुरु गरेको हो । यस अभियान अन्तर्गत यही असोज १३ गतेदेखि १६ सम्म प्रदेश नं १ आन्तरिक मामिला तथा कानुन मन्त्रालयको आयोजनामा विराटनगरको मोरङ कारागार, झापाको चन्द्र गढी कारागार, सुनसरीको झुम्का कारागार र उदयपुरको गाईघाट कारागारमा कार्यक्रमहरू सम्पन्न भएका छन् । प्रदेश नं १ सरकारका आन्तरिक मामिला मन्त्री हिक्मत कार्कीले विराटनगर कारागारमा उद्घाटन गरेको कार्यक्रम महिला तथा पुरुष कैदी बन्दीहरूका लागि छुट्टाछुट्टै चार कारागारमा ७ वटा कार्यक्रम सम्पन्न गर्यो । सिस्नुपानी नेपालका अध्यक्ष लक्ष्मण गाम्नागे र महासचिव टङ्क आचार्यका व्यङ्ग्य कविता, उपाध्यक्ष मनोज गजुरेलको व्यङ्ग्य प्रहसन, गायक शिशिर योगीका गीत, योग गुरु सुवास बडालको योग, ध्यान तथा स्वास्थ्य परामर्श, इन्सेकका प्रदेश नं १ प्रमुख सोम थापाको मानवअधिकार मन्तव्यसहित सञ्चालन भएका कार्यक्रममा कैदी बन्दीका गीत, प्रहसन, कविता र नृत्यहरूको प्रस्तुतिले कार्यक्रमलाई अत्यन्तै रोचक र भव्य भएका थिए । कार्यक्रमहरूमा प्रदेश नं १ का प्रमुख सचिव केदार न्यौपाने लगायत सम्बन्धित जिल्लाका प्रमुख जिल्ला अधिकारी, प्रदेशका सांसदहरू, सुरक्षा निकायका प्रमुखहरू, मेयरहरू, कारागार कर्मचारी तथा सुरक्षाकर्मीहरू तथा पत्रकारहरूको समेत सहभागिता रहेको थियो । पहिलो चरणको यस कार्यक्रमले करिब पैँतिस सय कैदीबन्दीहरूलाई समेटेको थियो । बन्दी जीवनमा उत्पन्न हुन सक्ने निराशा, आत्मग्लानि र प्रतिशोधको भावना हटाएर उनीहरूमा कसरी उत्साह, ऊर्जा र सकारात्मक भाव जगाउन सकिन्छ भनेर कैदीबन्दीलाई स्वास्थ्य जीवनशैलीको अभ्यास गराइएको थियो । योग, ध्यान आदिलाई कैदीहरूले आफ्नो दिनचर्यामा सामेल गराउन जोड दिँदै कारागार जीवन मुक्त भएपछि पनि सकारात्मक सोचका साथ नयाँ जीवन प्रारम्भ गराउने यस कार्यक्रमको उद्देश्य रहेको छ ।"
"""जुत्ता लगाऊ","लाइसेन्स जोगाऊ !"",""बिर्तामोड : चाडवाडको बेला दुर्घट्ना बढ्नसक्ने भन्दै जिल्ला ट्राफिक प्रहरी कार्यालय झापाले सवारी चालकहरुलाई दुर्घट्नाबाट बच्न सचेत गराउन थालेको छ । सवारी चालक तथा व्यवसायीको एक भेला नै आयोजना गरी ट्राफिक प्रहरीले सचेत गराएको हो । सवारी चलाउँदा जुत्ता अनिवार्य गर्न जिल्ला ट्राफिक प्रहरीले जोड दिएको थियो । जिल्ला ट्राफिक प्रहरी कार्यालयका प्रमुख राजेश राईले चालक र व्यवसायीलाई चेतावनीपूर्ण तरिकाले भने, जुत्ता नलगाए लाइसेन्स जाला ! चेकजाँचमा कडाई, मापसे जाँच, ट्राफिक नियमको पालना लगायतको काम ट्राफिकले गरिरहेको भन्दै अब चालकले जुत्ता लगाएनलगाएको पनि चेक जाँच गर्ने राईले बताए । यससँगै दुर्घट्ना कम गर्न झापामा सार्वजनिक यातायातका चालकलाई जुत्ता अनिवार्य गरिएको छ । चालक र व्यवसायीलाई भेला डाकेरै यस्तो जानकारी गराइएको हो । चप्पल मात्रै लगाएर सवारी हाँकेको भेटेमा लाईसेन्स नै खारेज गर्नसक्ने वा जरिवाना गर्नसक्ने ट्राफिक प्रमुख राईले बताए । दशैं, तिहारजस्ता चाडपर्वका बेला दुर्घट्नाको सम्भावना बढ्ने भन्दै यस्तो नियम सुरु गरिएको राईको भनाइ छ । चालकले जुत्ता लगाउनै पर्ने नयाँ नियम जस्तो लागे पनि यो पुरानै र दुर्घटना घटाउने व्यवहारिक नियम हो, प्रमुख राईले भने भइरहेको सरकारी निर्देशिकालाई कार्यान्वयनमा ल्याउने हाम्रो प्रयास हो । सवारी चालक अनुमतिपत्र व्यवस्थित गर्ने निर्देशिका २०६९ को दफा २ मा जुत्ता लगाउनुपर्ने नियम छ । जिल्ला ट्राफिक प्रहरीका अनुसार धेरैजसो दुर्घट्ना चप्पल लगाएर सवारी चलाउँदा ब्रेक र क्लचबाट खुट्टा चिप्लिएर हुने गरेको पाइएको छ । इलाका प्रहरी कार्यालय बिर्तामोडका प्रमुख डिएसपी कृष्ण कोइरालाले यो नियम लागू गर्दा दुर्घट्ना न्यूनिकरणमा सघाउ पुयाउने बताएका छन् । बसपार्कमा यात्रु सहायता कक्ष दशैंतिहारमा यात्रुको चाप र सुरक्षालाई मध्यनजर गर्दै बिर्तामोडस्थित नयाँ बसपार्कमा यात्रु सहायता कक्ष स्थापना गरिएको छ । बुधबार झापाका प्रमुख जिल्ला अधिकारी जनकराज दाहालले एक कार्यक्रमबीच सहायता कक्षको उद्घाटन गरेका हुन् । सहायता कक्षमा ६ जनपद प्रहरी र २ ट्राफिक प्रहरी रहने छन् । इप्रका झापाका अनुसार यहाँ रहने प्रहरीले सकेसम्म धेरै यात्रुको गुनासो सुन्ने र सहायता गर्नेछन् । सहायता कक्ष चाडपर्व भरी सञ्चालनमा रहने बताइएको छ ।"""
"प्रदेश लोगो चोरिएको भन्दै उजुरी","पोखरा : गण्डकी प्रदेश सभाको लोगेको प्रतिस्पर्धामा आफूले पठाएको चित्रका अधिकांश भाग मिलेको प्रतीक चिन्ह् छनोट गरिएको भन्दै महेन्द्र उपाध्यायले उजुरी गरेका छन् । इमेलमा पठाएको लोगो सचिवालयकै कर्मचारी विनीत रानामगरले अधिकांश भाग हूबहू नक्कल गरी प्रतिस्पर्धामा भाग लिएको उनको आरोप छ । प्रदेश सभाले रानामगरले बनाएको प्रतीक चिन्हलाई प्रदेश सभाको लोगो छनोट गरेको छ । आफ्ना धेरैजसो कन्टेन्ट अहिले उत्कृष्ट घोषणा भएको लोगोसँग मिलेको महेन्द्रको दाबी छ । प्रदेश सभाका अनुसार ५ जनाले १२ लोगोमध्येबाट रानामगरको सर्वाेत्कृष्ट चयन गरिएको हो । महेन्द्रले गरेको उजुरीबारे प्रदेश सभाका पदाधिकारीले प्रतिक्रिया दिएका छैनन् । नेपालको नक्साभित्र जातजातिले भरिएको गण्डकी प्रदेश, गैंडा, हिमालको भाग, नदी, धानको भालाको कन्टेन्टहरु नक्कल गरेको महेन्द्रको दाबी छ ।"
"निर्दयी छोरा : जसले बुवालाई झाडीमा जिउँदै फालेर ज्यान लिए","जनकपुरधाम : धनुषामा छोराले बुवालाई झाडीमा फालेर ज्यान लिएको घटना सार्वजनिक भएको छ । नगराइन नगरपालिकास्थित बेहरा गाउँका एक युवकले झाडीमा फालेर करिब ७० वर्षीय बुवा रामचन्द्र महतोको ज्यान लिएका हुन् । इलाका प्रहरी कार्यालय महेन्द्रनगरका प्रहरी निरीक्षक अरुण कुशवाहाका अनुसार रामचन्द्रका करिब ४५ छोरा छन् । एक छोराले मोटरसाइकलमा राखेर ६ दिन अगाडि नै घरबाट करिब ३५ किलोमिटर दुरीमा पर्ने बेलाचापीस्थित झाडीमा छाडेका थिए । एकछिनमा आउँछु भनेको छोरो फर्केर आएन । त्यसपछि स्थानीयले खुवाउन थाले, कोही चाउचाउ ल्याएर दिन्थे, त कोही विस्कुट । तर बुधवार बिहान अचानक उनको मृत्यु भएको छ । मृतक महतोको दाहिने हातमा घाउ देखिएको प्रहरी निरीक्षक कुशवाहाले बताए । उनको मृत्यु भएपछि फुलगामा चौकीसँग सहकार्य गरेर अनुसन्धान अगाडि बढाइएको जानकारी दिए । बुवालाई झाडीमा फाल्ने छोरो कुन् हो अहिले पत्ता लागेका छैन, अनुसन्धान गरिरहेका छौं, उनले भने, पहिचान खुल्ने वितिकै नियन्त्रणमा लिएर कारबाही प्रक्रिया अगाडि बढाउँछौं । प्रहरीका अनुसार भोक र पानीले उनी दिनरात छट्पटाउने गर्थे । खान नपाएर महतोको मृत्यु भएको अनुमान गरिएको छ । खाना अभावमा उनको शरीर सुकिसकेको देखिन्छ । उनको दाहिने हातमा घाउसमेत देखिएको छ । स्थानीयका अनुसार महतो लामो समयदेखि बिरामी थिए । उपचार गराउनुको साटो झाडीमा लगेर जन्म दिने बुवाको ज्यान लिएर छोराले अपराध गरेकाले कडा कारबाही गर्न स्थानीयले माग छ । मृतक महतोको शव पोष्टमार्टमका लागि जनकपुर अञ्चल अस्पताल ल्याएको छ ।"
"कक्षा ११ को नतिजा यसै साता","काठमाडौं : राष्ट्रिय परीक्षा बोर्डले कक्षा ११ को वार्षिक परीक्षाको नतिजा यसै साता सार्वजनिक गर्ने भएको छ । परीक्षा नियन्त्रक कृष्ण शर्माका अनुसार नतिजा प्रकाशनका लागि आवश्यक अन्तिम तयारी भइरहेको छ । उनका अनुसार परीक्षण गरिएको उत्तरपुस्तिका रुजु गरेर कम्युटरमा राख्ने काम सकिसकेको छ । अहिले विद्यार्थीको हाजिरीलाई रुजु गर्ने काम भइरहेको छ । कुनै प्राविधिक समस्या आएन भने तीन दिन भित्रमा नतिजा प्रकाशन गर्र्छौ, नियन्त्रक शर्माले भने । यो पटक पाँच लाख ४८ हजारले कक्षा ११ को परीक्षाका लागि फाराम भरेका थिए । ती मध्ये कति जनाले परीक्षा दिए भन्ने तथ्यांक निकाल्नै बाँकी रहेको बोर्डको भनाइ छ । कक्षा ११ को परीक्षा गत वैशाख ३० गतेदेखि जेठ ९ गतेसम्म सञ्चालन भएको थियो । विगतका वर्षको तुलनामा यस वर्ष निकै छिटो नतिजा सार्वजनिक हुन लागेको शर्माको दाबी छ । विगतका वर्षमा परीक्षा वैशाख जेठमै सञ्चालन भएपनि नतिजा भने पुस वा माघमा मात्रै सार्वजनिक हुने गरेको थियो । यस पटक पनि नतिजा विषयगतरुपमा ग्रेडिङमा सार्वजनिक हुनेछ ।"
"टिपाइमै बिग्रन्छ चियाको गुणस्तर","इलाम : चियाको गुणस्तरका लागि विभिन्न प्रयास भएपनि किसानको बारीबाट नै चियाको गुणस्तर बिग्रने गरेको पाइएको छ । श्रमिकको अभाव भएपछि किसानले हँसियाले काटेर चिया बिक्री गर्न थालेपछि चियाको गुणस्तर खस्किएको हो । कतिपय किसानले मेसिनको प्रयोग गरेपनि अधिकांश किसानले हँसियाले नै चिया काट्ने गरेका छन् । त्रिशक्ति चिया उद्योगका सञ्चालक महेश अर्यालले चियाको टिपाइमा नै गुणस्तर बिग्रने गरेको बताए । चिया उद्यमी तथा प्रदेश सभाका सभासद काजिमान कागते अरु देशले उत्पादन गर्ने चियाको प्रविधि हेर्दा नेपालको चियाको गुणस्तर खस्किँदै गएको बताए । उनले चिया टिपाइदेखि प्रशोधनसम्म समस्या रहेको बताए । दुई पात एक सुइरो चिया कारखानामा ल्याउने किसान राम्रो मूल्य पाउने भएपनि अहिले किसानले एक बित्तासम्मको चिया कारखानामा ल्याउने गरेको चिया प्रशोधक बताउँछन् । सुन्दरपानी चिया उत्पादक सहकारी सुनपा ९ का सह व्यवस्थापक सोनाम योल्मु गुणस्तरी चिया उत्पादन गर्न चिया टिप्ने श्रमिकको अभाव खड्कन थालेको बताउँछन् । सुन्दरपानी चिया सहकारीमा ७४ जना चिया किसानले अर्ग्यानिक चिया उत्पादन गरेर गोर्खा टी स्टेटमा बिक्री गर्छ । पछिल्लो समयमा प्रतिकिलो ४० रुपैयाँ दिँदा समेत मजदुर पाउन छोडेको योल्मुले बताए । कारखानाले ए ग्रेडको हरियो पत्तीको मुल्य प्रतिकिलो ९० रुपैयाँ, बी ग्रेडको ६५ रुपैयाँ र सी ग्रेडको ४३ रुपैयँसम्म दिने गरेपनि किसाले कारखानाले तोकेको गुणस्तरको चिया दिन नसकेको उद्यमी बताउँछन् । पछिल्लो समयमा बढ्दो विदेश पलायनको कारणले चिया टिप्ने श्रमिक पाउन छोडेको हो । विदेश नगएका किसान पनि आफै चिया टिप्ने र तरकारी उत्पादन गर्न लागेकाले मजदुरको अभाव भएको योल्मुको अनुभव छ । कारखानाको माग अनुसारको दुईपात सुइरोको चिया टिप्दा एकजना मजदुरले आठ घण्टामा औसत सात किलो चिया टिप्ने गरेको कृषक बताउँछन् । अहिले मजदुरले आठ घण्टा काम गर्दा कम्तीमा ३ सय रुपैयाँ कमाउछन् । हँसियाले काटेर किसानले दैनिक पाँचसय मन्दा माथि कमाउने गरेका छन् । यस्तो चियाको मुल्य कारखानामा प्रतिकिलो ३५ देखि ४० रुपैयाँ हुने गरेको छ । लामो चिया टिप्ने श्रमिकले प्रतिकिलो दशदेखि बाह्र रुपैयाँ ज्याला मात्र पाउने गरेका छन् ।"
"कस्तो अवस्थामा हुन्छ महिलालाई स्तन क्यान्सर ?","भक्तपुर : स्वास्थ्य क्षेत्रमा अक्टोबर महिनालाई स्तन क्यान्सरसम्बन्धी जनचेतनाको महिना मानिँदै आएको छ । त्यसैले यस महिनामा देशविदेशमा स्तन क्यान्सरसम्बन्धी जनचेतना फैलाउने, स्वास्थ्य शिविर गर्नेलगायतका गतिविधि हुँदै आएका छन् । नेपालमा पनि क्यान्सरको क्षेत्रमा कार्य गर्दै आएका संघसंस्था तथा अस्पताल र त्यहाँका चिकित्सकहरुले विविध कार्यक्रम गरी स्तन क्यान्सरसम्बन्धी जनचेतना फैलाउन लागिपरेका छन् । क्यान्सर विशेषज्ञ चिकित्सकहरुले ४० वर्ष उमेर नाघेका महिलालाई स्तन क्यान्सर हुने सम्भावना अधिक हुने बताएका छन् । केही महिलालाई वंशाणुगत भए पनि धेरैलाई जीवनशैलीको कारण हुने उनीहरुको तर्क छ । ढिलो बिहे गर्ने, बिहेको धेरै वर्षसम्म बच्चा नजन्माउने र जन्माए पनि स्तनपान नगराउने महिलालाई स्तन क्यान्सर हुने सम्भावना बढी रहने क्यान्सर विशेषज्ञ डा उत्सवमान श्रेष्ठ बताउँछन् । क्यान्सरलाई नकुरौं, सचेत बनौं विवाह नगरी बसेका ३५ वर्षमाथिका महिलासमेत स्तन क्यान्सरको जोखिममा पर्छन्, भक्तपुर क्यान्सर अस्पतालका क्यान्सर सर्जन श्रेष्ठ भन्छन्, त्यसैले क्यान्सरलाई कुरेर नबसौं, आफैँ सचेत बनेर ३५४० वर्ष भएपछि वर्षमा एकपटक स्तनको परीक्षण गराऔं । यी उमेरका विवाहित र अविवाहित सबै महिलाले वर्षमा एकपटक स्तनको मेमोग्राम वा अल्ट्रासाउन्ड गराए क्यान्सरको सुरुकै अवस्थामा थाहा हुने उनको भनाइ थियो । सुरुको अवस्थामै क्यान्सर पत्ता लागे उपचारबाट निको हुन्छ, उनले थपे, महिलाले आफ्नो स्तन पनि फाल्नु पर्दैन । ढिलो पहिचान र उपचार भए क्यान्सर दुवै स्तनसम्म मात्रै नपुगी फोक्सो, कलेजोलगायत शरीरका अन्य भागमा पनि फैलने उनले स्पष्ट पारे । नेपाली महिलालाई हुने क्यान्सरमा स्तन क्यान्सर दोस्रो स्थानमा छ । पहिलो स्थानमा पाठेघरको मुखको क्यान्सर रहेको छ । तर पछिल्लो समय स्तन क्यान्सरका बिरामीको संख्या बढिरहेको भक्तपुर क्यान्सर अस्पतालले जनाएको छ । स्तनपान नगराउने बढी जोखिममा अस्पतालकी क्यान्सर रोग विशेषज्ञ डा स्वेता बरालले जीवनशैलीको कारण सहरिया महिलाहरुमा बढीभन्दा बढी स्तन क्यान्सर देखिएको बताइन् । आफ्नो सुन्दरता बिग्रने भन्दै बच्चा पाएर पनि स्तन नगराउने र मोटोपना भएका महिलालाई स्तन क्यान्सर हुने बढी सम्भावना हुन्छ, उनले भनिन्, दैनिक व्यायाम नगर्ने, चिल्लो र मसालेदार खानपान गर्नेलाई पनि स्तन क्यान्सरको जोखिम बढी हुन्छ । उनका अनुसार हार्मोनको गडबढीले पनि स्तन क्यान्सर हुने क्रम बढेको छ । हार्मोनको कारण पनि स्तन क्यान्सर हुन्छ । महिलाले बच्चालाई स्तनपान नगराउँदा, मोटोपना बढ्दा यो हार्मोन बढ्छ, डा बरालले भनिन्, त्यसैले स्तनपान गराउँदा र व्यायाम गर्दा यो हार्मोन बढ्न पाउँदैन । स्तन क्यान्सरका लक्षण चिकित्सकहरुका अनुसार सुरुमा स्तनमा गिर्खा महसुस हुनु स्तन क्यान्सरको संकेत हो । साना गिर्खा बढेर डल्लो जस्तो देखिने र पछि घाउ बन्ने डा श्रेष्ठ बताउँछन् । उनका अनुसार मुन्टो भित्र गड्दै गए पनि स्तन क्यान्सर हुने सम्भावना हुन्छ । घाउ हुँदा पनि घरमै बसेकाहरु स्याउँस्याउँ कीरा भएपछि उपचारमा आएका पाएका छौं, उनले भने, यस्तो अवस्थामा आएका महिलाहरुको उपचार ढिलो भइसक्छ । क्यान्सर अन्यत्र पनि फैलिएर अन्तमा ज्यान नै जाने हुन्छ । उनले लक्षण नकुरी ४० वर्ष पुगेपछि वर्षमा एकपटक स्तन परीक्षण गर्नु नै क्यान्सरबाट बच्ने उपाय भएकोमा जोड दिए । लक्षण देखिन्छ अनि उपचारमा जाऔंला भनेर क्यान्सरलाई नकुरौं, डा श्रेष्ठले थपे, क्यान्सर लागेको लक्षण थाहा पाउँदासम्म ढिलो भइसक्छ । त्यसैले आफै सचेत भएर वर्षमा एकपटक स्तन परीक्षण गराऔं । पुरुषलाई पनि स्तन क्यान्सर पछिल्लो समय पुरुषलाई समेत स्तन क्यान्सर देखिएको छ । भक्तपुर क्यान्सर अस्पतालमा चालू आवमा मात्रै ४ जना पुरुषको स्तन क्यान्सरको उपचार गरिएको डा श्रेष्ठ बताउँछन् । उनका अनुसार गएको वैशाखदेखि असोज १५ सम्म ७९ जना महिलाको स्तन क्यान्सरको अप्रेसन गरिएको छ । पुरुषहरुलाई हार्मोनकै कारण स्तन क्यान्सर हुने उनले बताए । त्यसैले दैनिक व्यायाम गर्ने, मोटोपना बढ्न नदिने, धूमपान तथा मद्यपान नगर्ने उनले सुझाव दिए । गुलाबी चंगा उडान स्तन क्यान्सर भएपछि महिलाहरुले आफ्नो जिन्दगी नै सिद्धिएको महसुस गर्छन् । जसले गर्दा उनीहरुको दैनिकी सामान्य हुँदैन । निराशा र कुन्ठाले उनीहरुलाई क्यान्सरले नखाए पनि भित्रभित्रै खान थाल्छ । जसले गर्दा उनीहरु चाँडै मृत्यु नजिक पुग्छन् । स्तन क्यान्सरपीडितहरुको यस्तै मनोदशा बुझेर स्तन क्यान्सर भए पनि उपचारपछि स्वस्थ मानिस जस्तै सामान्य जीवन बाँच्न सकिन्छ भन्ने देखाउन भक्तपुरमा गुलाबी चंगा उडान कार्यक्रम राखिएको छ । भक्तपुर क्यान्सर अस्पतालको आयोजनामा भक्तपुरको सूर्यविनायक नगरपालिका७ गुण्डुस्थित घ्याम्पे डाँडामा यही शुक्रबार उक्त चंगा उडान कार्यक्रम हुने भएको हो । स्तन क्यान्सर भएका महिलाहरुलाई उपचारपछि चंगाजस्तै हलुका भएर आकाशमा उड्न सकिन्छ भनेर सचेत गर्ने उद्देश्यले उक्त चंगा उडान राखिएको कार्यक्रम संयोजक डा श्रेष्ठ बताउँछन् । गुलाबी रंग महिलाको प्रतीक हो, त्यहीं रंगका चंगा उडाएर आकाशलाई नै गुलाबी बनाउने कार्यक्रमको उद्देश्य हो, उनले भने, स्तन क्यान्सर हुँदैमा कुनामा कुप्रिनुपर्दैन । उपचारपछि स्वच्छन्द भएर आकाशमा उड्न सकिन्छ भन्ने सन्देश दिन खोजेका हौं । उनका अनुसार स्तन क्यान्सरको जनचेतना फैलाउन विश्वभर नेपालमै पहिलोपटक गुलाबी चंगा उडान भएको हो । भक्तपुरमा गत वर्ष पहिलोपटक गुलाबी चंगा उडान भएको थियो ।"
"म्यानमारविरुद्ध नेपालको अर्को कीर्तिमान : दुई ओभरमा सन्दीपले लिए चार विकेट","काठमाडौं : नेपालले म्यानमारविरुद्धको सहज जितसँगै सन् २०२० मा अष्ट्रेलियामा आयोजना हुने अन्तर्राष्ट्रिय क्रिकेट काउन्सिल (आईसीसी) टीट्वेन्टी विश्वकपअन्तर्गत पहिलो चरणको एसियाली छनोटमा सुखद सुरुआत गरेको छ । नेपालले बुधबार भएको आफ्नो पहिलो खेलमा म्यानमारलाई आठ विकेटले पराजित गर्यो । नेपालले यो जितमा केही कीर्तिमान पनि बनाएको छ । मलेसियाको क्वालालम्पुरस्थित किनरारा एकेडेमी ओभलमा टस जिती पहिले ब्याटिङ गरेको म्यानमारलाई नेपालले १० ओभरमा २९ रनमै समेटेको थियो । जवाफमा नेपालले तीन ओभरमा दुई विकेट गुमाउँदै जित पक्का गरेको हो । अन्तर्राष्ट्रिय टीट्वेटी क्रिकेटमा नेपालले कुनै पनि टोलीलाई सबैभन्दा कम योगफलमा समेटेको यो पहिलो अवसर हो । नेपालले यसअघि ५० ओभरको क्रिकेटमा पनि म्यानमारविरुद्ध नै विपक्षीलाई सबैभन्दा कम योगफलमा रोक्ने कीर्तिमान बनाएको थियो । सन् २००६ मा मलेसियामै भएको एसीसी ट्रफीअन्तर्गतको खेलमा नेपालले म्यानमारलाई १० रनमै समेट्दै यस्तो कीर्तिमान बनाएको थियो । समग्रमा भने कुनै पनि प्रतियोगितामा नेपालले विपक्षी टोलीलाई सर्वाधिक कम योगफलमा समेटेको यो तेस्रो अवसर हो । नेपालले सन् २००८ मा जर्सीमा भएको विश्वक्रिकेट लिग डिभिजन पाँचअन्तर्गतको खेलमा मोजाम्बिकलाई १९ रनमा अल आउट गरेको थियो । सो खेलमा नेपाली मध्यम गतिका बलर मेहबुब आलम एक्लैले १० विकेट लिएर कीर्तिमानी प्रदर्शन गरेका थिए । नेपालले म्यानमारविरुद्ध टीट्वेन्टी खेलमा सबैभन्दा कम ओभरमा जित हात पार्ने कीर्तिमानसमेत कायम गरेको छ । ५० ओभरको क्रिकेटमा पनि नेपालको यो कीर्तिमान म्यानमारविरुद्ध नै कायम छ । सन् २००६ कै एसीसी ट्रफीमा म्यानमारविरुद्ध नेपालले ११ रनको लक्ष्य दुई बलमा भेट्टाएको थियो । नेपाललाई जित दिलाउने क्रममा स्पिनरद्वय सन्दीप लामिछाने र ललितनारायण राजवंशीले आफ्नो खेलजीवनकै किफायती बलिङ गरे । सन्दीपले दुई ओभरमा केवल तीन रन खर्चेर चार विकेट लिए । यसैगरी ललितनारायणले तीन ओभरमा दुई मेडनसहित तीन रन खर्चिएर तीन विकेट लिए । करण केसी र ललित भण्डारीले पनि एकएक विकेट हात पारे । म्यानमारका लागि कप्तान हिटेट लिन अउङले सर्वाधिक १६ रन बनाए । अन्य ब्याट्सम्यानले दोहोरो संख्यामा रन बनाउन सकेनन् । म्यानमारका ६ ब्याट्सम्यानले कुनै रन जोड्न सकेनन् । ३० रनको सामान्य लक्ष्य पछ्याउन भने केही हतार गर्दा नेपालले सुरुमै दुई विकेट गुमायो । प्रारम्भिक ब्याट्सम्यान प्रदीप ऐरी दोस्रो बलमै शून्य रनमा आउट भए । त्यसपछि ब्याटिङका लागि आएका अनिलकुमार शाह पनि पाँच बलमा ११ रन जोड्दा आउट हुन पुगे । प्रारम्भिक ब्याट्सम्यान विनोद भण्डारी एक र करण केसी १४ रनमा अविजित रहे । अनिल र करणले आफ्नो पालीमा एक छक्का र एक चौका प्रहार गरेका थिए । म्यानमारविरुद्धको सहज जितका बाबजुद नेपाल सात टोली सम्मिलित प्रतियोगिताको अंकतालिकाको दोस्रो स्थानमा छ । चीनलाई १० विकेटले पराजित गरेको थाइल्यान्ड अंकतालिकाको पहिलो स्थानमा छ । यसैगरी भुटानलाई ६७ रनले पराजित गरेको आयोजक मलेसिया तेस्रो स्थानमा आसीन छ । राउन्ड रोबिन लिगको खेलमा शीर्ष तीन स्थानमा रहने टोली टीट्वेन्टी विश्वकपका लागि अर्को वर्ष हुने अन्तिम चरणको एसियाली छनोट प्रतियोगितामा छनोट हुनेछन् ।"
